distbin,District,purpose,survey_value,model_value
28,5: East Suburban,University,0.0,55.776892430278885
29,5: East Suburban,University,0.0,23.90438247011952
30,5: East Suburban,University,0.0,23.90438247011952
31,5: East Suburban,University,0.0,35.85657370517929
32,5: East Suburban,University,0.0,31.872509960159363
33,5: East Suburban,University,0.0,7.968127490039841
34,5: East Suburban,University,0.0,0.0
35,5: East Suburban,University,0.0,7.968127490039841
36,5: East Suburban,University,0.0,7.968127490039841
37,5: East Suburban,University,0.0,0.0
38,5: East Suburban,University,0.0,15.93625498007968
39,5: East Suburban,University,0.0,3.98406374501992
40,5: East Suburban,University,0.0,0.0
41,5: East Suburban,University,0.0,19.9203187250996
42,5: East Suburban,University,0.0,31.872509960159363
43,5: East Suburban,University,0.0,7.968127490039841
44,5: East Suburban,University,0.0,55.776892430278885
45,5: East Suburban,University,0.0,211.15537848605575
46,5: East Suburban,University,0.0,67.72908366533865
47,5: East Suburban,University,0.0,35.85657370517929
48,5: East Suburban,University,0.0,27.88844621513944
49,5: East Suburban,University,0.0,123.50597609561753
50,5: East Suburban,University,0.0,27.88844621513944
51,5: East Suburban,University,0.0,0.0
1,6: North County West,University,0.0,0.0
2,6: North County West,University,0.0,0.0
3,6: North County West,University,0.0,0.0
4,6: North County West,University,0.0,0.0
5,6: North County West,University,0.0,0.0
6,6: North County West,University,0.0,0.0
7,6: North County West,University,0.0,183.26693227091636
8,6: North County West,University,0.0,0.0
9,6: North County West,University,0.0,0.0
10,6: North County West,University,0.0,0.0
11,6: North County West,University,0.0,0.0
12,6: North County West,University,0.0,0.0
13,6: North County West,University,0.0,0.0
14,6: North County West,University,0.0,0.0
15,6: North County West,University,0.0,123.50597609561753
16,6: North County West,University,0.0,23.90438247011952
17,6: North County West,University,0.0,23.90438247011952
18,6: North County West,University,0.0,19.9203187250996
19,6: North County West,University,0.0,107.56972111553785
20,6: North County West,University,0.0,1047.8087649402391
21,6: North County West,University,0.0,888.4462151394422
22,6: North County West,University,0.0,932.2709163346614
23,6: North County West,University,0.0,729.0836653386455
24,6: North County West,University,0.0,1195.219123505976
25,6: North County West,University,0.0,1386.4541832669322
26,6: North County West,University,0.0,1239.0438247011953
27,6: North County West,University,0.0,972.1115537848606
28,6: North County West,University,0.0,868.5258964143426
29,6: North County West,University,0.0,270.9163346613546
30,6: North County West,University,0.0,749.0039840637451
31,6: North County West,University,0.0,601.593625498008
32,6: North County West,University,0.0,876.4940239043825
33,6: North County West,University,0.0,852.589641434263
34,6: North County West,University,0.0,764.9402390438247
35,6: North County West,University,0.0,689.2430278884462
36,6: North County West,University,0.0,537.8486055776892
37,6: North County West,University,0.0,498.00796812749
38,6: North County West,University,0.0,243.02788844621517
39,6: North County West,University,0.0,247.01195219123505
40,6: North County West,University,0.0,298.804780876494
41,6: North County West,University,0.0,227.09163346613545
42,6: North County West,University,0.0,187.25099601593627
43,6: North County West,University,0.0,250.996015936255
44,6: North County West,University,0.0,115.5378486055777
45,6: North County West,University,0.0,115.5378486055777
46,6: North County West,University,0.0,219.12350597609563
47,6: North County West,University,0.0,239.0438247011952
48,6: North County West,University,0.0,163.34661354581672
49,6: North County West,University,0.0,91.63346613545816
50,6: North County West,University,0.0,103.58565737051794
51,6: North County West,University,0.0,0.0
1,7: North County East,University,0.0,0.0
2,7: North County East,University,0.0,7.968127490039841
3,7: North County East,University,0.0,19.9203187250996
4,7: North County East,University,0.0,15.93625498007968
5,7: North County East,University,0.0,27.88844621513944
6,7: North County East,University,0.0,43.82470119521912
7,7: North County East,University,0.0,159.3625498007968
8,7: North County East,University,0.0,187.25099601593627
9,7: North County East,University,0.0,215.1394422310757
10,7: North County East,University,0.0,585.6573705179283
11,7: North County East,University,0.0,505.9760956175299
12,7: North County East,University,0.0,95.61752988047807
13,7: North County East,University,0.0,115.5378486055777
14,7: North County East,University,0.0,83.66533864541833
15,7: North County East,University,0.0,127.49003984063744
16,7: North County East,University,0.0,127.49003984063744
17,7: North County East,University,0.0,15.93625498007968
18,7: North County East,University,0.0,3.98406374501992
19,7: North County East,University,0.0,35.85657370517929
20,7: North County East,University,0.0,111.55378486055776
21,7: North County East,University,0.0,294.8207171314741
22,7: North County East,University,0.0,454.1832669322709
23,7: North County East,University,0.0,1525.8964143426294
24,7: North County East,University,0.0,1362.5498007968129
25,7: North County East,University,0.0,1410.3585657370518
26,7: North County East,University,0.0,1258.9641434262949
27,7: North County East,University,0.0,1099.601593625498
28,7: North County East,University,0.0,912.3505976095618
29,7: North County East,University,0.0,820.7171314741036
30,7: North County East,University,0.0,597.609561752988
31,7: North County East,University,0.0,888.4462151394422
32,7: North County East,University,0.0,741.0358565737051
33,7: North County East,University,0.0,454.1832669322709
34,7: North County East,University,0.0,438.24701195219126
35,7: North County East,University,0.0,386.45418326693226
36,7: North County East,University,0.0,784.8605577689243
37,7: North County East,University,0.0,342.62948207171314
38,7: North County East,University,0.0,274.9003984063745
39,7: North County East,University,0.0,131.47410358565736
40,7: North County East,University,0.0,605.5776892430279
41,7: North County East,University,0.0,470.1195219123506
42,7: North County East,University,0.0,466.1354581673307
43,7: North County East,University,0.0,374.5019920318725
44,7: North County East,University,0.0,250.996015936255
45,7: North County East,University,0.0,243.02788844621517
46,7: North County East,University,0.0,151.39442231075697
47,7: North County East,University,0.0,179.28286852589642
48,7: North County East,University,0.0,310.7569721115538
49,7: North County East,University,0.0,227.09163346613545
50,7: North County East,University,0.0,207.17131474103587
51,7: North County East,University,0.0,0.0
1,8: East County,University,0.0,0.0
2,8: East County,University,0.0,0.0
3,8: East County,University,0.0,3.98406374501992
4,8: East County,University,0.0,0.0
5,8: East County,University,0.0,0.0
6,8: East County,University,0.0,19.9203187250996
7,8: East County,University,0.0,15.93625498007968
8,8: East County,University,0.0,0.0
9,8: East County,University,0.0,0.0
10,8: East County,University,0.0,0.0
11,8: East County,University,0.0,3.98406374501992
12,8: East County,University,0.0,0.0
13,8: East County,University,0.0,0.0
14,8: East County,University,0.0,0.0
15,8: East County,University,0.0,15.93625498007968
16,8: East County,University,0.0,15.93625498007968
17,8: East County,University,0.0,3.98406374501992
18,8: East County,University,0.0,0.0
19,8: East County,University,0.0,7.968127490039841
20,8: East County,University,0.0,3.98406374501992
21,8: East County,University,0.0,11.95219123505976
22,8: East County,University,0.0,0.0
23,8: East County,University,0.0,0.0
24,8: East County,University,0.0,3.98406374501992
25,8: East County,University,0.0,3.98406374501992
26,8: East County,University,0.0,3.98406374501992
27,8: East County,University,0.0,0.0
28,8: East County,University,0.0,7.968127490039841
29,8: East County,University,0.0,0.0
30,8: East County,University,0.0,0.0
31,8: East County,University,0.0,3.98406374501992
32,8: East County,University,0.0,0.0
33,8: East County,University,0.0,0.0
34,8: East County,University,0.0,0.0
35,8: East County,University,0.0,0.0
36,8: East County,University,0.0,0.0
37,8: East County,University,0.0,0.0
38,8: East County,University,0.0,0.0
39,8: East County,University,0.0,0.0
40,8: East County,University,0.0,3.98406374501992
41,8: East County,University,0.0,0.0
42,8: East County,University,0.0,0.0
43,8: East County,University,0.0,0.0
44,8: East County,University,0.0,0.0
45,8: East County,University,0.0,0.0
46,8: East County,University,0.0,0.0
47,8: East County,University,0.0,0.0
48,8: East County,University,0.0,0.0
49,8: East County,University,0.0,0.0
50,8: East County,University,0.0,0.0
51,8: East County,University,0.0,0.0
1,Total,University,0.0,0.0
2,Total,University,0.0,7.968127490039841
3,Total,University,0.0,31.872509960159363
4,Total,University,0.0,23.904382470119522
5,Total,University,0.0,99.60159362549801
6,Total,University,0.0,175.29880478087648
7,Total,University,0.0,462.1513944223108
8,Total,University,0.0,334.6613545816733
9,Total,University,0.0,326.69322709163345
10,Total,University,0.0,721.1155378486055
11,Total,University,0.0,681.2749003984064
12,Total,University,0.0,227.09163346613545
13,Total,University,0.0,274.9003984063745
14,Total,University,0.0,199.20318725099602
15,Total,University,0.0,350.59760956175296
16,Total,University,0.0,235.05976095617527
17,Total,University,0.0,127.49003984063744
18,Total,University,0.0,143.42629482071715
19,Total,University,0.0,298.804780876494
20,Total,University,0.0,1322.7091633466136
21,Total,University,0.0,1250.996015936255
22,Total,University,0.0,1474.1035856573706
23,Total,University,0.0,2394.4223107569724
24,Total,University,0.0,2709.163346613546
25,Total,University,0.0,2928.286852589641
26,Total,University,0.0,2645.4183266932273
27,Total,University,0.0,2191.235059760956
28,Total,University,0.0,1888.4462151394423
29,Total,University,0.0,1159.3625498007968
30,Total,University,0.0,1577.6892430278886
31,Total,University,0.0,1697.2111553784862
32,Total,University,0.0,2111.5537848605577
33,Total,University,0.0,1609.5617529880478
34,Total,University,0.0,1940.2390438247012
35,Total,University,0.0,1227.0916334661356
36,Total,University,0.0,1972.1115537848605
37,Total,University,0.0,1386.4541832669322
38,Total,University,0.0,952.191235059761
39,Total,University,0.0,1127.4900398406373
40,Total,University,0.0,1501.99203187251
41,Total,University,0.0,1135.4581673306773
42,Total,University,0.0,856.5737051792829
43,Total,University,0.0,788.8446215139443
44,Total,University,0.0,569.7211155378486
45,Total,University,0.0,796.8127490039841
46,Total,University,0.0,597.609561752988
47,Total,University,0.0,689.2430278884462
48,Total,University,0.0,824.7011952191235
49,Total,University,0.0,888.4462151394422
50,Total,University,0.0,589.6414342629482
51,Total,University,0.0,0.0
1,1: Downtown,School,0.0,0.0
2,1: Downtown,School,0.0,0.0
3,1: Downtown,School,0.0,0.0
4,1: Downtown,School,0.0,0.0
5,1: Downtown,School,0.0,0.0
6,1: Downtown,School,0.0,0.0
7,1: Downtown,School,0.0,0.0
8,1: Downtown,School,0.0,0.0
9,1: Downtown,School,0.0,0.0
10,1: Downtown,School,0.0,0.0
11,1: Downtown,School,0.0,0.0
12,1: Downtown,School,0.0,0.0
13,1: Downtown,School,0.0,0.0
14,1: Downtown,School,0.0,0.0
15,1: Downtown,School,0.0,0.0
16,1: Downtown,School,0.0,0.0
17,1: Downtown,School,0.0,7.968127490039841
18,1: Downtown,School,0.0,19.9203187250996
19,1: Downtown,School,0.0,3.98406374501992
20,1: Downtown,School,0.0,0.0
21,1: Downtown,School,0.0,0.0
22,1: Downtown,School,0.0,3.98406374501992
23,1: Downtown,School,0.0,0.0
24,1: Downtown,School,0.0,0.0
25,1: Downtown,School,0.0,0.0
26,1: Downtown,School,0.0,0.0
27,1: Downtown,School,0.0,0.0
28,1: Downtown,School,0.0,0.0
29,1: Downtown,School,0.0,0.0
30,1: Downtown,School,0.0,0.0
31,1: Downtown,School,0.0,0.0
32,1: Downtown,School,0.0,0.0
33,1: Downtown,School,0.0,0.0
34,1: Downtown,School,0.0,0.0
35,1: Downtown,School,0.0,0.0
36,1: Downtown,School,0.0,0.0
37,1: Downtown,School,0.0,0.0
38,1: Downtown,School,0.0,0.0
39,1: Downtown,School,0.0,0.0
40,1: Downtown,School,0.0,0.0
41,1: Downtown,School,0.0,0.0
42,1: Downtown,School,0.0,0.0
43,1: Downtown,School,0.0,0.0
44,1: Downtown,School,0.0,0.0
45,1: Downtown,School,0.0,0.0
46,1: Downtown,School,0.0,0.0
47,1: Downtown,School,0.0,0.0
48,1: Downtown,School,0.0,0.0
49,1: Downtown,School,0.0,0.0
50,1: Downtown,School,0.0,0.0
51,1: Downtown,School,0.0,0.0
1,2: Central,School,0.0,0.0
2,2: Central,School,0.0,0.0
3,2: Central,School,0.0,0.0
4,2: Central,School,0.0,0.0
5,2: Central,School,0.0,0.0
6,2: Central,School,0.0,0.0
7,2: Central,School,0.0,0.0
8,2: Central,School,0.0,0.0
9,2: Central,School,0.0,0.0
10,2: Central,School,0.0,0.0
11,2: Central,School,0.0,0.0
12,2: Central,School,0.0,27.88844621513944
13,2: Central,School,0.0,67.72908366533865
14,2: Central,School,0.0,111.55378486055776
15,2: Central,School,0.0,59.7609561752988
16,2: Central,School,0.0,83.66533864541833
17,2: Central,School,0.0,83.66533864541833
18,2: Central,School,0.0,75.69721115537848
19,2: Central,School,0.0,119.5219123505976
20,2: Central,School,0.0,123.50597609561753
21,2: Central,School,0.0,51.79282868525897
22,2: Central,School,0.0,31.872509960159363
23,2: Central,School,0.0,35.85657370517929
24,2: Central,School,0.0,47.80876494023904
25,2: Central,School,0.0,27.88844621513944
26,2: Central,School,0.0,3.98406374501992
27,2: Central,School,0.0,11.95219123505976
28,2: Central,School,0.0,0.0
29,2: Central,School,0.0,3.98406374501992
30,2: Central,School,0.0,0.0
31,2: Central,School,0.0,0.0
32,2: Central,School,0.0,0.0
33,2: Central,School,0.0,3.98406374501992
34,2: Central,School,0.0,0.0
35,2: Central,School,0.0,0.0
36,2: Central,School,0.0,0.0
37,2: Central,School,0.0,0.0
38,2: Central,School,0.0,0.0
39,2: Central,School,0.0,3.98406374501992
40,2: Central,School,0.0,0.0
41,2: Central,School,0.0,0.0
42,2: Central,School,0.0,0.0
43,2: Central,School,0.0,0.0
44,2: Central,School,0.0,0.0
45,2: Central,School,0.0,0.0
46,2: Central,School,0.0,0.0
47,2: Central,School,0.0,0.0
48,2: Central,School,0.0,0.0
49,2: Central,School,0.0,0.0
50,2: Central,School,0.0,0.0
51,2: Central,School,0.0,0.0
1,3: North City,School,0.0,0.0
2,3: North City,School,0.0,0.0
3,3: North City,School,0.0,0.0
4,3: North City,School,0.0,0.0
5,3: North City,School,0.0,0.0
6,3: North City,School,0.0,0.0
7,3: North City,School,0.0,0.0
8,3: North City,School,0.0,0.0
9,3: North City,School,0.0,0.0
10,3: North City,School,0.0,0.0
11,3: North City,School,0.0,0.0
12,3: North City,School,0.0,0.0
13,3: North City,School,0.0,0.0
14,3: North City,School,0.0,0.0
15,3: North City,School,0.0,0.0
16,3: North City,School,0.0,0.0
17,3: North City,School,0.0,0.0
18,3: North City,School,0.0,0.0
19,3: North City,School,0.0,0.0
20,3: North City,School,0.0,0.0
21,3: North City,School,0.0,0.0
22,3: North City,School,0.0,19.9203187250996
23,3: North City,School,0.0,59.7609561752988
24,3: North City,School,0.0,55.776892430278885
25,3: North City,School,0.0,19.9203187250996
26,3: North City,School,0.0,35.85657370517929
27,3: North City,School,0.0,19.9203187250996
28,3: North City,School,0.0,23.90438247011952
29,3: North City,School,0.0,23.90438247011952
30,3: North City,School,0.0,645.4183266932271
31,3: North City,School,0.0,398.4063745019921
32,3: North City,School,0.0,1513.9442231075698
33,3: North City,School,0.0,912.3505976095618
34,3: North City,School,0.0,2577.689243027889
35,3: North City,School,0.0,601.593625498008
36,3: North City,School,0.0,2486.0557768924305
37,3: North City,School,0.0,2147.410358565737
38,3: North City,School,0.0,1270.9163346613543
39,3: North City,School,0.0,2749.003984063745
40,3: North City,School,0.0,2466.135458167331
41,3: North City,School,0.0,1378.4860557768925
42,3: North City,School,0.0,553.784860557769
43,3: North City,School,0.0,645.4183266932271
44,3: North City,School,0.0,513.9442231075698
45,3: North City,School,0.0,752.9880478087649
46,3: North City,School,0.0,633.4661354581673
47,3: North City,School,0.0,816.7330677290837
48,3: North City,School,0.0,956.1752988047808
49,3: North City,School,0.0,1358.565737051793
50,3: North City,School,0.0,593.6254980079681
51,3: North City,School,0.0,0.0
1,4: South Suburban,School,0.0,0.0
2,4: South Suburban,School,0.0,0.0
3,4: South Suburban,School,0.0,39.8406374501992
4,4: South Suburban,School,0.0,55.776892430278885
5,4: South Suburban,School,0.0,71.71314741035857
6,4: South Suburban,School,0.0,147.41035856573706
7,4: South Suburban,School,0.0,123.50597609561753
8,4: South Suburban,School,0.0,111.55378486055776
9,4: South Suburban,School,0.0,139.4422310756972
10,4: South Suburban,School,0.0,191.23505976095615
11,4: South Suburban,School,0.0,183.26693227091636
12,4: South Suburban,School,0.0,565.7370517928287
13,4: South Suburban,School,0.0,75.69721115537848
14,4: South Suburban,School,0.0,55.776892430278885
15,4: South Suburban,School,0.0,23.90438247011952
16,4: South Suburban,School,0.0,11.95219123505976
17,4: South Suburban,School,0.0,39.8406374501992
18,4: South Suburban,School,0.0,0.0
19,4: South Suburban,School,0.0,11.95219123505976
20,4: South Suburban,School,0.0,0.0
21,4: South Suburban,School,0.0,0.0
22,4: South Suburban,School,0.0,0.0
23,4: South Suburban,School,0.0,0.0
24,4: South Suburban,School,0.0,0.0
25,4: South Suburban,School,0.0,0.0
26,4: South Suburban,School,0.0,0.0
27,4: South Suburban,School,0.0,0.0
28,4: South Suburban,School,0.0,0.0
29,4: South Suburban,School,0.0,0.0
30,4: South Suburban,School,0.0,0.0
31,4: South Suburban,School,0.0,0.0
32,4: South Suburban,School,0.0,0.0
33,4: South Suburban,School,0.0,0.0
34,4: South Suburban,School,0.0,0.0
35,4: South Suburban,School,0.0,0.0
36,4: South Suburban,School,0.0,0.0
37,4: South Suburban,School,0.0,0.0
38,4: South Suburban,School,0.0,0.0
39,4: South Suburban,School,0.0,0.0
40,4: South Suburban,School,0.0,0.0
41,4: South Suburban,School,0.0,0.0
42,4: South Suburban,School,0.0,0.0
43,4: South Suburban,School,0.0,0.0
44,4: South Suburban,School,0.0,0.0
45,4: South Suburban,School,0.0,0.0
46,4: South Suburban,School,0.0,0.0
47,4: South Suburban,School,0.0,0.0
48,4: South Suburban,School,0.0,0.0
49,4: South Suburban,School,0.0,0.0
50,4: South Suburban,School,0.0,0.0
51,4: South Suburban,School,0.0,0.0
1,5: East Suburban,School,0.0,0.0
2,5: East Suburban,School,0.0,0.0
3,5: East Suburban,School,0.0,0.0
4,5: East Suburban,School,0.0,0.0
5,5: East Suburban,School,0.0,0.0
6,5: East Suburban,School,0.0,0.0
7,5: East Suburban,School,0.0,0.0
8,5: East Suburban,School,0.0,0.0
9,5: East Suburban,School,0.0,0.0
10,5: East Suburban,School,0.0,0.0
11,5: East Suburban,School,0.0,0.0
12,5: East Suburban,School,0.0,0.0
13,5: East Suburban,School,0.0,0.0
14,5: East Suburban,School,0.0,0.0
15,5: East Suburban,School,0.0,0.0
16,5: East Suburban,School,0.0,0.0
17,5: East Suburban,School,0.0,3.98406374501992
18,5: East Suburban,School,0.0,23.90438247011952
19,5: East Suburban,School,0.0,31.872509960159363
20,5: East Suburban,School,0.0,23.90438247011952
21,5: East Suburban,School,0.0,19.9203187250996
22,5: East Suburban,School,0.0,19.9203187250996
23,5: East Suburban,School,0.0,43.82470119521912
24,5: East Suburban,School,0.0,51.79282868525897
25,5: East Suburban,School,0.0,19.9203187250996
26,5: East Suburban,School,0.0,27.88844621513944
27,5: East Suburban,School,0.0,47.80876494023904
28,5: East Suburban,School,0.0,27.88844621513944
29,5: East Suburban,School,0.0,19.9203187250996
30,5: East Suburban,School,0.0,27.88844621513944
31,5: East Suburban,School,0.0,23.90438247011952
32,5: East Suburban,School,0.0,23.90438247011952
33,5: East Suburban,School,0.0,19.9203187250996
34,5: East Suburban,School,0.0,7.968127490039841
35,5: East Suburban,School,0.0,27.88844621513944
36,5: East Suburban,School,0.0,7.968127490039841
37,5: East Suburban,School,0.0,0.0
38,5: East Suburban,School,0.0,47.80876494023904
39,5: East Suburban,School,0.0,0.0
40,5: East Suburban,School,0.0,0.0
41,5: East Suburban,School,0.0,75.69721115537848
42,5: East Suburban,School,0.0,147.41035856573706
43,5: East Suburban,School,0.0,19.9203187250996
44,5: East Suburban,School,0.0,254.9800796812749
45,5: East Suburban,School,0.0,1015.9362549800796
46,5: East Suburban,School,0.0,585.6573705179283
47,5: East Suburban,School,0.0,107.56972111553785
48,5: East Suburban,School,0.0,123.50597609561753
49,5: East Suburban,School,0.0,705.1792828685259
50,5: East Suburban,School,0.0,227.09163346613545
51,5: East Suburban,School,0.0,0.0
1,6: North County West,School,0.0,0.0
2,6: North County West,School,0.0,0.0
3,6: North County West,School,0.0,0.0
4,6: North County West,School,0.0,0.0
5,6: North County West,School,0.0,0.0
6,6: North County West,School,0.0,0.0
7,6: North County West,School,0.0,1737.0517928286852
8,6: North County West,School,0.0,0.0
9,6: North County West,School,0.0,0.0
10,6: North County West,School,0.0,0.0
11,6: North County West,School,0.0,0.0
12,6: North County West,School,0.0,0.0
13,6: North County West,School,0.0,0.0
14,6: North County West,School,0.0,0.0
15,6: North County West,School,0.0,1346.613545816733
16,6: North County West,School,0.0,127.49003984063744
17,6: North County West,School,0.0,95.61752988047807
18,6: North County West,School,0.0,203.18725099601596
19,6: North County West,School,0.0,816.7330677290837
20,6: North County West,School,0.0,6466.13545816733
21,6: North County West,School,0.0,5223.107569721115
22,6: North County West,School,0.0,5541.832669322709
23,6: North County West,School,0.0,5282.868525896414
24,6: North County West,School,0.0,6195.219123505976
25,6: North County West,School,0.0,7223.107569721115
26,6: North County West,School,0.0,7278.884462151394
27,6: North County West,School,0.0,6768.924302788844
28,6: North County West,School,0.0,4629.482071713147
29,6: North County West,School,0.0,1278.8844621513945
30,6: North County West,School,0.0,3326.6932270916336
31,6: North County West,School,0.0,2581.6733067729083
32,6: North County West,School,0.0,3573.7051792828684
33,6: North County West,School,0.0,3992.03187250996
34,6: North County West,School,0.0,3270.9163346613545
35,6: North County West,School,0.0,3167.330677290837
36,6: North County West,School,0.0,2314.741035856573
37,6: North County West,School,0.0,1788.8446215139445
38,6: North County West,School,0.0,968.1274900398406
39,6: North County West,School,0.0,1207.1713147410358
40,6: North County West,School,0.0,1434.2629482071711
41,6: North County West,School,0.0,1051.7928286852589
42,6: North County West,School,0.0,848.605577689243
43,6: North County West,School,0.0,856.5737051792829
44,6: North County West,School,0.0,521.9123505976096
45,6: North County West,School,0.0,537.8486055776892
46,6: North County West,School,0.0,788.8446215139443
47,6: North County West,School,0.0,717.1314741035857
48,6: North County West,School,0.0,589.6414342629482
49,6: North County West,School,0.0,414.3426294820717
50,6: North County West,School,0.0,645.4183266932271
51,6: North County West,School,0.0,0.0
1,7: North County East,School,0.0,0.0
2,7: North County East,School,0.0,91.63346613545816
3,7: North County East,School,0.0,79.6812749003984
4,7: North County East,School,0.0,43.82470119521912
5,7: North County East,School,0.0,103.58565737051794
6,7: North County East,School,0.0,159.3625498007968
7,7: North County East,School,0.0,553.784860557769
8,7: North County East,School,0.0,653.3864541832669
9,7: North County East,School,0.0,1649.402390438247
10,7: North County East,School,0.0,3231.075697211156
11,7: North County East,School,0.0,2478.0876494023905
12,7: North County East,School,0.0,290.8366533864542
13,7: North County East,School,0.0,466.1354581673307
14,7: North County East,School,0.0,278.8844621513944
15,7: North County East,School,0.0,561.7529880478088
16,7: North County East,School,0.0,442.2310756972112
17,7: North County East,School,0.0,99.601593625498
18,7: North County East,School,0.0,51.79282868525897
19,7: North County East,School,0.0,235.0597609561753
20,7: North County East,School,0.0,800.796812749004
21,7: North County East,School,0.0,2131.4741035856573
22,7: North County East,School,0.0,3498.00796812749
23,7: North County East,School,0.0,8282.868525896414
24,7: North County East,School,0.0,7131.474103585658
25,7: North County East,School,0.0,8733.067729083665
26,7: North County East,School,0.0,8756.972111553785
27,7: North County East,School,0.0,4438.247011952191
28,7: North County East,School,0.0,3330.6772908366534
29,7: North County East,School,0.0,4864.5418326693225
30,7: North County East,School,0.0,4000.0
31,7: North County East,School,0.0,4398.406374501992
32,7: North County East,School,0.0,4549.8007968127495
33,7: North County East,School,0.0,2223.1075697211154
34,7: North County East,School,0.0,2693.227091633466
35,7: North County East,School,0.0,2358.565737051793
36,7: North County East,School,0.0,1792.8286852589642
37,7: North County East,School,0.0,1661.3545816733067
38,7: North County East,School,0.0,1553.784860557769
39,7: North County East,School,0.0,1027.8884462151395
40,7: North County East,School,0.0,4262.948207171315
41,7: North County East,School,0.0,3111.5537848605577
42,7: North County East,School,0.0,2780.8764940239043
43,7: North County East,School,0.0,1764.9402390438247
44,7: North County East,School,0.0,1099.601593625498
45,7: North County East,School,0.0,1306.7729083665338
46,7: North County East,School,0.0,697.2111553784861
47,7: North County East,School,0.0,1055.7768924302788
48,7: North County East,School,0.0,2003.98406374502
49,7: North County East,School,0.0,1035.8565737051792
50,7: North County East,School,0.0,657.3705179282869
51,7: North County East,School,0.0,0.0
1,8: East County,School,0.0,0.0
2,8: East County,School,0.0,0.0
3,8: East County,School,0.0,15.93625498007968
4,8: East County,School,0.0,0.0
5,8: East County,School,0.0,0.0
6,8: East County,School,0.0,51.79282868525897
7,8: East County,School,0.0,55.776892430278885
8,8: East County,School,0.0,0.0
9,8: East County,School,0.0,0.0
10,8: East County,School,0.0,0.0
11,8: East County,School,0.0,31.872509960159363
12,8: East County,School,0.0,0.0
13,8: East County,School,0.0,0.0
14,8: East County,School,0.0,7.968127490039841
15,8: East County,School,0.0,43.82470119521912
16,8: East County,School,0.0,11.95219123505976
17,8: East County,School,0.0,7.968127490039841
18,8: East County,School,0.0,0.0
19,8: East County,School,0.0,11.95219123505976
20,8: East County,School,0.0,0.0
21,8: East County,School,0.0,7.968127490039841
22,8: East County,School,0.0,0.0
23,8: East County,School,0.0,0.0
24,8: East County,School,0.0,3.98406374501992
25,8: East County,School,0.0,0.0
26,8: East County,School,0.0,0.0
27,8: East County,School,0.0,0.0
28,8: East County,School,0.0,0.0
29,8: East County,School,0.0,7.968127490039841
30,8: East County,School,0.0,0.0
31,8: East County,School,0.0,7.968127490039841
32,8: East County,School,0.0,0.0
33,8: East County,School,0.0,0.0
34,8: East County,School,0.0,0.0
35,8: East County,School,0.0,0.0
36,8: East County,School,0.0,0.0
37,8: East County,School,0.0,0.0
38,8: East County,School,0.0,0.0
39,8: East County,School,0.0,0.0
40,8: East County,School,0.0,3.98406374501992
41,8: East County,School,0.0,0.0
42,8: East County,School,0.0,0.0
43,8: East County,School,0.0,0.0
44,8: East County,School,0.0,0.0
45,8: East County,School,0.0,0.0
46,8: East County,School,0.0,0.0
47,8: East County,School,0.0,0.0
48,8: East County,School,0.0,0.0
49,8: East County,School,0.0,0.0
50,8: East County,School,0.0,0.0
51,8: East County,School,0.0,0.0
1,Total,School,0.0,0.0
2,Total,School,0.0,91.63346613545816
3,Total,School,0.0,135.4581673306773
4,Total,School,0.0,99.601593625498
5,Total,School,0.0,175.2988047808765
6,Total,School,0.0,358.56573705179284
7,Total,School,0.0,2470.1195219123506
8,Total,School,0.0,764.9402390438247
9,Total,School,0.0,1788.8446215139443
10,Total,School,0.0,3422.310756972112
11,Total,School,0.0,2693.227091633466
12,Total,School,0.0,884.4621513944223
13,Total,School,0.0,609.5617529880478
14,Total,School,0.0,454.1832669322709
15,Total,School,0.0,2035.8565737051792
16,Total,School,0.0,677.2908366533865
17,Total,School,0.0,338.64541832669323
18,Total,School,0.0,374.50199203187253
19,Total,School,0.0,1231.0756972111553
20,Total,School,0.0,7414.342629482071
21,Total,School,0.0,7434.262948207172
22,Total,School,0.0,9115.537848605578
23,Total,School,0.0,13705.179282868525
24,Total,School,0.0,13486.055776892432
25,Total,School,0.0,16023.904382470118
26,Total,School,0.0,16103.585657370517
27,Total,School,0.0,11286.852589641434
28,Total,School,0.0,8011.952191235059
29,Total,School,0.0,6199.203187250995
30,Total,School,0.0,8000.0
31,Total,School,0.0,7410.358565737051
32,Total,School,0.0,9661.354581673308
33,Total,School,0.0,7151.394422310757
34,Total,School,0.0,8549.80079681275
35,Total,School,0.0,6155.378486055777
36,Total,School,0.0,6601.593625498008
37,Total,School,0.0,5597.609561752988
38,Total,School,0.0,3840.637450199203
39,Total,School,0.0,4988.04780876494
40,Total,School,0.0,8167.330677290836
41,Total,School,0.0,5617.529880478088
42,Total,School,0.0,4330.677290836653
43,Total,School,0.0,3286.8525896414344
44,Total,School,0.0,2390.438247011952
45,Total,School,0.0,3613.5458167330676
46,Total,School,0.0,2705.1792828685257
47,Total,School,0.0,2697.211155378486
48,Total,School,0.0,3673.3067729083664
49,Total,School,0.0,3513.94422310757
50,Total,School,0.0,2123.5059760956174
51,Total,School,0.0,0.0
99999,1: Downtown,Work,0.0,3.98406374501992
99999,2: Central,Work,0.0,7.968127490039841
99999,3: North City,Work,0.0,1378.4860557768925
99999,4: South Suburban,Work,0.0,0.0
