Description,Step,Type,Table,Out Col,In Col,Func
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_shop'] == 2, '2_SS', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_shop'] == 1) & (final_households['joint_main'] == 1), '2_SM', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_shop'] == 1) & (final_households['joint_eat'] == 1), '2_SE', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_shop'] == 1) & (final_households['joint_visit'] == 1), '2_SV', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_shop'] == 1) & (final_households['joint_disc'] == 1), '2_SD', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_main'] == 2, '2_MM', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_main'] == 1) & (final_households['joint_eat'] == 1), '2_ME', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_main'] == 1) & (final_households['joint_visit'] == 1), '2_MV', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_main'] == 1) & (final_households['joint_disc'] == 1), '2_MD', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_eat'] == 2, '2_EE', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_eat'] == 1) & (final_households['joint_visit'] == 1), '2_EV', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_eat'] == 1) & (final_households['joint_disc'] == 1), '2_ED', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_visit'] == 2, '2_VV', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where((final_households['joint_visit'] == 1) & (final_households['joint_disc'] == 1), '2_VD', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_disc'] == 2, '2_DD', final_households['joint_tour_frequency'])"
Rename joint tour categories,step_1,replace,final_households,alt_name,joint_tour_frequency,"{'0_tours': 'No Joint Tours', '1_Shop': '1 Shopping', '1_Main': '1 Maintenance', '1_Eat': '1 Eating Out', '1_Visit': '1 Visiting', '1_Disc': '1 Other Discretionary', '2_SS': '2 Shopping', '2_SM': '1 Shopping / 1 Maintenance', '2_SE': '1 Shopping / 1 Eating Out', '2_SV': '1 Shopping / 1 Visiting', '2_SD': '1 Shopping / 1 Other Discretionary', '2_MM': '2 Maintenance', '2_ME': '1 Maintenance / 1 Eating Out', '2_MV': '1 Maintenance / 1 Visiting', '2_MD': '1 Maintenance / 1 Other Discretionary', '2_EE': '2 Eating Out', '2_EV': '1 Eating Out / 1 Visiting', '2_ED': '1 Eating Out / 1 Other Discretionary', '2_VV': '2 Visiting', '2_VD': '1 Visiting / 1 Other Discretionary', '2_DD': '2 Other Discretionary'}"
Add jtf,step_1,replace,final_households,jtf,joint_tour_frequency,"{'0_tours': 1, '1_Shop': 2, '1_Main': 3, '1_Eat': 4, '1_Visit': 5, '1_Disc': 6, '2_SS': 7, '2_SM': 8, '2_SE': 9, '2_SV': 10, '2_SD': 11, '2_MM': 12, '2_ME': 13, '2_MV': 14, '2_MD': 15, '2_EE': 16, '2_EV': 17, '2_ED': 18, '2_VV': 19, '2_VD': 20, '2_DD': 21}"
#,,,,,,
Add number of total stops for individual tours,step_1,raw,,,,indivTourData_3['num_tot_stops'] = indivTourData_3['num_ib_stops'] + indivTourData_3['num_ob_stops']
Add number of total stops for joint tours,step_1,raw,,,,jointTourData_3['num_tot_stops'] = jointTourData_3['num_ib_stops'] + jointTourData_3['num_ob_stops']
Add variable indicating if next stop is on inbound tour leg to individual trip data,step_1,raw,,,,indivTripData_3['inb_next'] = np.zeros_like(indivTripData_3.index)
Add variable indicating if next stop is on inbound tour leg to individual trip data,step_1,raw,,,,indivTripData_3['inb_next'].iloc[:indivTripData_3.shape[0]-1] = indivTripData_3['inbound'][1:]
Add variable indicating if individual trip is intermediate stop on tour,step_1,raw,,,,"indivTripData_3['stops'] = np.where((indivTripData_3['DPURP'] > 0) & (((indivTripData_3['inbound'] == 0) & (indivTripData_3['inb_next'] == 0)) | ((indivTripData_3['inbound'] == 1) & (indivTripData_3['inb_next'] == 1))), 1, 0)"
Add variable indicating if next stop is on inbound tour leg to joint trip data,step_1,raw,,,,jointTripData_3['inb_next'] = np.zeros_like(jointTripData_3.index)
Add variable indicating if next stop is on inbound tour leg to joint trip data,step_1,raw,,,,jointTripData_3['inb_next'].iloc[:jointTripData_3.shape[0]-1] = jointTripData_3['inbound'][1:]
Add variable indicating if joint trip is intermediate stop on tour,step_1,raw,,,,"jointTripData_3['stops'] = np.where((jointTripData_3['DPURP'] > 0) & (((jointTripData_3['inbound'] == 0) & (jointTripData_3['inb_next'] == 0)) | ((jointTripData_3['inbound'] == 1) & (jointTripData_3['inb_next'] == 1))), 1, 0)"
Classify number of adults,step_1,rename,final_households,,,{'num_adults': 'ADULTS'}
#,,,,,,
Classify vehicle ownership category for individual tours,step_3,raw,hh_itours,,,"hh_itours['AUTOSUFF'] = np.where(hh_itours['HHVEH'] == 0, 0, np.where(hh_itours['HHVEH'] < hh_itours['ADULTS'], 1, 2))"
Classify vehicle ownership category for joint tours,step_3,raw,hh_jtours,,,"hh_jtours['AUTOSUFF'] = np.where(hh_jtours['HHVEH'] == 0, 0, np.where(hh_jtours['HHVEH'] < hh_jtours['ADULTS'], 1, 2))"
#,,,,,,
Get tours with active workers,step_3,raw,,,,"active_workers = indivTourData_3[['tour_purpose', 'person_type', 'household_id', 'person_num']].query('tour_purpose == ""work"" and person_type in [1, 2]').groupby(['household_id', 'person_num']).max()['person_type'].reset_index()"
Get tours with active students,step_3,raw,,,,"active_students = indivTourData_3[['tour_purpose', 'person_type', 'household_id', 'person_num']].query('tour_purpose == ""school"" and person_type in [6, 7, 8]').groupby(['household_id', 'person_num']).max()['person_type'].reset_index()"
Get tours with active students,step_3,raw,,,,active_students['active_student'] = np.ones_like(active_students.index)
Group active student tours by household,step_3,raw,,,,hh_active_student = active_students.groupby('household_id').max()['active_student']
Tag active workers with active students in household,step_3,raw,,,,active_workers['active_student'] = active_workers['household_id'].map(hh_active_student).fillna(0)
Fill null values with 0,step_3,raw,,,,active_workers = active_workers.fillna(0)
Reset active_workers index,step_3,raw,,,,active_workers = active_workers.reset_index()
#,,,,,,
Add person number within household to trip list,step_3,raw,,,,final_trips['person_num'] = final_trips['person_id'].map(final_persons.set_index('person_id')['PNUM'])
Get list of escort participants on each trip from string reporting it,step_3,apply,final_trips,escort_participant_list,escort_participants,get_escort_participant_list
Get number of escortees on each trip,step_3,apply,final_trips,num_escortees,escort_participant_list,len
Identify outbound escort trips,step_3,raw,,,,"ob_esc_trips = final_trips.query(""school_escort_direction == 'outbound' and tour_purpose != 'school'"")"
Identify inbound escort trips,step_3,raw,,,,"ib_esc_trips = final_trips.query(""school_escort_direction == 'inbound' and tour_purpose != 'school'"")"
,step_3,raw,,,,ob_escortees = ob_esc_trips['escort_participant_list'].apply(lambda x: list(x)).sum()
,step_3,raw,,,,"ob_escorters = np.repeat(ob_esc_trips['person_id'], ob_esc_trips['num_escortees']).values.tolist()"
,step_3,raw,,,,"ob_escort_map = dict(zip(ob_escortees, ob_escorters))"
,step_3,raw,indivTourData_3,driver_num_out,person_id,indivTourData_3['driver_num_out'] = indivTourData_3['person_id'].map(ob_escort_map)
,step_3,raw,,,,ib_escortees = ib_esc_trips['escort_participant_list'].apply(lambda x: list(x)).sum()
,step_3,raw,,,,"ib_escorters = np.repeat(ib_esc_trips['person_id'], ib_esc_trips['num_escortees']).values.tolist()"
,step_3,raw,,,,"ib_escort_map = dict(zip(ib_escortees, ib_escorters))"
,step_3,raw,indivTourData_3,driver_num_in,person_id,indivTourData_3['driver_num_in'] = indivTourData_3['person_id'].map(ib_escort_map)
Get outbound chauffuer type,step_3,raw,,,,indivTourData_3['out_chauffeur_ptype'] = indivTourData_3['driver_num_in'].map(final_persons.set_index('person_id')['PERTYPE'])
Get inbound chauffuer type,step_3,raw,,,,indivTourData_3['inb_chauffeur_ptype'] = indivTourData_3['driver_num_out'].map(final_persons.set_index('person_id')['PERTYPE'])
Get tours with active workers,step_3,raw,,,,"active_workers = indivTourData_3[['tour_purpose', 'person_type', 'household_id', 'person_id']].query('tour_purpose in [""work"", ""atwork""] and person_type in [1, 2]').groupby(['household_id', 'person_id']).max()['person_type'].reset_index()"
Get tours with active students,step_3,raw,,,,"active_students = indivTourData_3[['tour_purpose', 'person_type', 'household_id', 'person_id']].query('tour_purpose == ""school"" and person_type in [6, 7, 8]').groupby(['household_id', 'person_id']).max()['person_type'].reset_index()"
Get tours with active students,step_3,raw,,,,active_students['active_student'] = np.ones_like(active_students.index)
Group active student tours by household,step_3,raw,,,,hh_active_student = active_students.groupby('household_id').max()['active_student']
Tag active workers with active students in household,step_3,raw,,,,active_workers['active_student'] = active_workers['household_id'].map(hh_active_student).fillna(0)
List of workers who did outbound rideshare for students,step_3,raw,,,,"out_rs_workers = indivTourData_3[['household_id', 'person_id', 'tour_id2', 'tour_purpose', 'school_esc_outbound', 'driver_num_out', 'out_chauffeur_ptype']].query('tour_purpose == ""school"" and school_esc_outbound == ""ride_share""')[['household_id', 'driver_num_out']].value_counts().sort_index().reset_index().rename(columns = {0: 'out_rs_escort'})"
List of workers who did outbound pure escort for students,step_3,raw,,,,"out_pe_workers = indivTourData_3[['household_id', 'person_id', 'tour_id2', 'tour_purpose', 'school_esc_outbound', 'driver_num_out', 'out_chauffeur_ptype']].query('tour_purpose == ""school"" and school_esc_outbound == ""pure_escort""')[['household_id', 'driver_num_out']].value_counts().sort_index().reset_index().rename(columns = {0: 'out_pe_escort'})"
List of workers who did inbound rideshare for students,step_3,raw,,,,"inb_rs_workers = indivTourData_3[['household_id', 'person_id', 'tour_id2', 'tour_purpose', 'school_esc_inbound', 'driver_num_in', 'inb_chauffeur_ptype']].query('tour_purpose == ""school"" and school_esc_inbound == ""ride_share""')[['household_id', 'driver_num_in']].value_counts().sort_index().reset_index().rename(columns = {0: 'inb_rs_escort'})"
List of workers who did inbound pure escort for students,step_3,raw,,,,"inb_pe_workers = indivTourData_3[['household_id', 'person_id', 'tour_id2', 'tour_purpose', 'school_esc_inbound', 'driver_num_in', 'inb_chauffeur_ptype']].query('tour_purpose == ""school"" and school_esc_inbound == ""pure_escort""')[['household_id', 'driver_num_in']].value_counts().sort_index().reset_index().rename(columns = {0: 'inb_pe_escort'})"
Add escort type to worker type,step_3,raw,,,,"active_workers = active_workers.merge(out_rs_workers, 'left', left_on = ['household_id', 'person_id'], right_on = ['household_id', 'driver_num_out'])"
Add escort type to worker type,step_3,raw,,,,"active_workers = active_workers.merge(out_pe_workers, 'left', left_on = ['household_id', 'person_id'], right_on = ['household_id', 'driver_num_out'])"
Add escort type to worker type,step_3,raw,,,,"active_workers = active_workers.merge(inb_rs_workers, 'left', left_on = ['household_id', 'person_id'], right_on = ['household_id', 'driver_num_in'])"
Add escort type to worker type,step_3,raw,,,,"active_workers = active_workers.merge(inb_pe_workers, 'left', left_on = ['household_id', 'person_id'], right_on = ['household_id', 'driver_num_in'])"
Fill null values with 0,step_3,raw,,,,active_workers = active_workers.fillna(0)
Identify outbound escort type,step_3,raw,,,,"active_workers['out_escort_type'] = np.where(active_workers['out_pe_escort'] > 0, 2, np.where(active_workers['out_rs_escort'], 1, 3))"
Identify inbound escort type,step_3,raw,,,,"active_workers['inb_escort_type'] = np.where(active_workers['inb_pe_escort'] > 0, 2, np.where(active_workers['inb_rs_escort'], 1, 3))"
Reset active_workers index,step_3,raw,,,,active_workers = active_workers.reset_index()
Add person weights to active workers,step_3,raw,,,,active_workers['finalweights'] = active_workers['person_id'].map(final_persons.set_index('person_id')['finalweights'])
#,,,,,,
Add up total population,step_3,raw,,,,total_population = final_persons.finalweights.sum()
Add up total households,step_3,raw,,,,total_households = final_households.finalweights.sum()
Add up total tours,step_3,raw,,,,total_tours = indivTourData_3.finalweights.sum() + (jointTourData_3['NUMBER_HH_TOTAL']*jointTourData_3['finalweights']).sum()
Add up total trips,step_3,raw,,,,total_trips = indivTripData_3.finalweights.sum() + jointTripData_3.finalweights.sum()
Add up total stops,step_3,raw,,,,total_stops = indivTripData_3.query('stops == 1').finalweights.sum() + jointTripData_3.query('stops == 1').finalweights.sum()
Add up total VMT,step_3,raw,indivTripData_3,num_travel,trip_mode,"indivTripData_3['num_travel'] = indivTripData_3['trip_mode'].map({'DRIVEALONE': 1, 'SHARED2': 2, 'SHARED3': 3.5, 'TAXI': 1.1, 'TNC_SINGLE': 1.2, 'TNC_SHARED': 2}).fillna(0)"
Add up total VMT,step_3,raw,,,,"indivTripData_3['vmt'] = np.where(indivTripData_3['num_travel'].astype(int) > 0, indivTripData_3['od_distance'] / indivTripData_3['num_travel'] *indivTripData_3['finalweights']  , 0)"
Add up total VMT,step_3,raw,,,,total_vmt = indivTripData_3['vmt'].sum()
Get totals together into series,step_3,raw,,,,"totals_df = pd.Series([total_population, total_households, total_tours, total_trips, total_stops, total_vmt], [""Population"", ""Households"", ""Tours"", ""Trips"", ""Stops"", ""VMT""])"
Name totals column,step_3,raw,,,,totals_df = pd.DataFrame({'value': totals_df})
Name totals index,step_3,raw,,,,totals_df.index.name = 'Variable'
Write totals data frame,step_3,raw,,,,totals_df.to_csv(r'output\totals.csv')
#,,,,,,
Create rates data frame,step_3,raw,,,,"rates_df = pd.Series([totals_df['value']['Tours']/totals_df['value']['Population'], totals_df['value']['Trips']/totals_df['value']['Population'], totals_df['value']['Stops']/totals_df['value']['Population'], totals_df['value']['Trips']/totals_df['value']['Households']], ['Tours per Person', 'Trips per Person', 'Stops per Person', 'Trips per Household'])"
Create rates data frame,step_3,raw,,,,rates_df = pd.DataFrame({'value': rates_df})
Create rates data frame,step_3,raw,,,,rates_df.index.name = 'Variable'
Write rates data frame,step_3,raw,,,,rates_df.to_csv(r'output\rates.csv')
#,,,,,,
Rename tours that have no escort,step_3,raw,,,,indivTourData_3['school_esc_outbound'] = indivTourData_3['school_esc_outbound'].fillna('No Escort')
Rename tours that have no escort,step_3,raw,,,,indivTourData_3['school_esc_inbound'] = indivTourData_3['school_esc_inbound'].fillna('No Escort')
#,,,,,,
Recode tour mode,step_4,replace,hh_tours,tour_mode,tour_mode,"{'DRIVEALONE': '01: SOV', 'SHARED2': '02: Shared Ride 2', 'SHARED3': '03: Shared Ride 3+', 'WALK': '04: Walk', 'BIKE': '05: Bike', 'WALK_TRANSIT': '06: Walk to Transit', 'WALK_LOC': '06: Walk to Transit', 'WALK_PRM': '06: Walk to Transit', 'WALK_MIX': '06: Walk to Transit', 'PNR_TRANSIT': '07: PNR to Transit', 'PNR_LOC': '07: PNR to Transit', 'PNR_PRM': '07: PNR to Transit', 'PNR_MIX': '07: PNR to Transit', 'KNR_TRANSIT': '08: KNR to Transit', 'KNR_LOC': '08: KNR to Transit', 'KNR_PRM': '08: KNR to Transit', 'KNR_MIX': '08: KNR to Transit', 'TNC_TRANSIT': '09: TNC to Transit', 'TNC_LOC': '09: TNC to Transit', 'TNC_PRM': '09: TNC to Transit', 'TNC_MIX': '09: TNC to Transit', 'TAXI': '10: Taxi', 'TNC_SINGLE': '11: TNC Single', 'TNC_SHARED': '12: TNC Shared', 'SCH_BUS': '13: School Bus'}"
Recode tour mode,step_4,replace,trips,tour_mode,tour_mode,"{'DRIVEALONE': '01: SOV', 'SHARED2': '02: Shared Ride 2', 'SHARED3': '03: Shared Ride 3+', 'WALK': '04: Walk', 'BIKE': '05: Bike', 'WALK_TRANSIT': '06: Walk to Transit', 'WALK_LOC': '06: Walk to Transit', 'WALK_PRM': '06: Walk to Transit', 'WALK_MIX': '06: Walk to Transit', 'PNR_TRANSIT': '07: PNR to Transit', 'PNR_LOC': '07: PNR to Transit', 'PNR_PRM': '07: PNR to Transit', 'PNR_MIX': '07: PNR to Transit', 'KNR_TRANSIT': '08: KNR to Transit', 'KNR_LOC': '08: KNR to Transit', 'KNR_PRM': '08: KNR to Transit', 'KNR_MIX': '08: KNR to Transit', 'TNC_TRANSIT': '09: TNC to Transit', 'TNC_LOC': '09: TNC to Transit', 'TNC_PRM': '09: TNC to Transit', 'TNC_MIX': '09: TNC to Transit', 'TAXI': '10: Taxi', 'TNC_SINGLE': '11: TNC Single', 'TNC_SHARED': '12: TNC Shared', 'SCH_BUS': '13: School Bus'}"
Recode trip mode,step_4,replace,trips,trip_mode,trip_mode,"{'DRIVEALONE': '01: SOV', 'SHARED2': '02: Shared Ride 2', 'SHARED3': '03: Shared Ride 3+', 'WALK': '04: Walk', 'BIKE': '05: Bike', 'WALK_TRANSIT': '06: Walk to Transit', 'WALK_LOC': '06: Walk to Transit', 'WALK_PRM': '06: Walk to Transit', 'WALK_MIX': '06: Walk to Transit', 'PNR_TRANSIT': '07: PNR to Transit', 'PNR_LOC': '07: PNR to Transit', 'PNR_PRM': '07: PNR to Transit', 'PNR_MIX': '07: PNR to Transit', 'KNR_TRANSIT': '08: KNR to Transit', 'KNR_LOC': '08: KNR to Transit', 'KNR_PRM': '08: KNR to Transit', 'KNR_MIX': '08: KNR to Transit', 'TNC_TRANSIT': '09: TNC to Transit', 'TNC_LOC': '09: TNC to Transit', 'TNC_PRM': '09: TNC to Transit', 'TNC_MIX': '09: TNC to Transit', 'TAXI': '10: Taxi', 'TNC_SINGLE': '11: TNC Single', 'TNC_SHARED': '12: TNC Shared', 'SCH_BUS': '13: School Bus'}"
#,,,,,,
#,,,,,,
Add totals to average mandatory trip length,step_6,raw,,,,mandTripLengthsTotal['HDISTRICT'] = 'Total'
Add totals to average mandatory trip length,step_6,raw,,,,"mandTripLengths = pd.concat((mandTripLengths, mandTripLengthsTotal))"
Add totals to average mandatory trip length,step_6,raw,,,,mandTripLengthsTotal_et['HDISTRICT'] = 'Total'
Add totals to average mandatory trip length,step_6,raw,,,,"mandTripLengths_et = pd.concat((mandTripLengths_et, mandTripLengthsTotal_et))"
Add totals to results by person type,step_6,raw,,,,resultsByPTypeTotal['index'] = 'Total'
Add totals to results by person type,step_6,raw,,,,"resultsByPType = pd.concat((resultsByPType, resultsByPTypeTotal))"
Add total non mandatory trip length,step_6,raw,,,,"nonMandTripLengths.loc[nonMandTripLengths.index.max()+1] = ['Total', nonMandTripLengthsTotal.loc[0, 'avgDist']]"
Add total non mandatory trip length,step_6,raw,,,,"nonMandTripLengths_et.loc[nonMandTripLengths_et.index.max()+1] = ['Total', nonMandTripLengthsTotal_et.loc[0, 'avgDist']]"
Add total out of direction distance,step_6,raw,,,,"avgStopOutofDirectionDist_vis.loc[avgStopOutofDirectionDist_vis.index.max()+1] = ['Total', avgStopOutofDirectionDistTotal.loc[0, 'avgDist']]"
#,,,,,,
Rename HDISTRICT to just District,step_6,rename,wfh_summary,,,{'HDISTRICT': 'District'}
Add totals to work from home summary,step_6,raw,,,,"wfh_summary.loc[wfh_summary.index.max()+1] = ['Total', wfh_summary['Workers'].sum(), wfh_summary['WFH'].sum()]"
Get % Work From Home,step_6,column,wfh_summary,%WFH,,WFH/Workers
Add up individual and joint tours by person type,step_6,sum,resultsByPType,tours,"itours,jtours",
Get tour rate,step_6,column,resultsByPType,tour_rate,,tours/active_persons
#,,,,,,
Normalize Escorting Tour Rates,step_6,column,nm_tour_rates,Escorting,,Escorting/TotalPersons
Normalize Shopping Tour Rates,step_6,column,nm_tour_rates,Shopping,,Shopping/TotalPersons
Normalize Maintenance Tour Rates,step_6,column,nm_tour_rates,Maintenance,,Maintenance/TotalPersons
Normazlize Eating Out Tour Rates,step_6,column,nm_tour_rates,EatingOut,,EatingOut/TotalPersons
Normalize Visiting Tour Rates,step_6,column,nm_tour_rates,Visiting,,Visiting/TotalPersons
Normalize Discretionary Tour Rates,step_6,column,nm_tour_rates,Discretionary,,Discretionary/TotalPersons
Normalize All Nonmandatory Tour Rates,step_6,column,nm_tour_rates,All,,All/TotalPersons
Delete total persons column,step_6,raw,,,,del nm_tour_rates['TotalPersons']
Melt nm_tour_rates,step_6,raw,,,,"nm_tour_rates = pd.melt(nm_tour_rates, ['PERTYPE'], var_name = 'tour_purp', value_name = 'tour_rate')"
#,,,,,,
Rename person type column,step_6,rename,resultsByPType,,,{'index': 'PERTYPE'}
Rename person type column,step_6,rename,tours_pertype_purpose,,,{'person_type': 'PERTYPE'}
#,,,,,,
Recode person type,step_6,replace,inmSummary_vis,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,tours_pertype_purpose,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,resultsByPType,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,pertypeDistbn,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,dapSummary_vis,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,mtfSummary_vis,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
Recode person type,step_6,replace,nm_tour_rates,PERTYPE,PERTYPE,"{1: '1: Full-Time Worker', 2: '2: Part-Time Worker', 3: '3: University Student', 4: '4: Non-Worker', 5: '5: Retiree', 6: '6: Driving Aged Student', 7: '7: Non-Driving Aged Student', 8: '8: Child To Young for School'}"
#,,,,,,
Rename AGGPURP,step_6,rename,stopDC_vis,,,"{'AGGPURP': 'purpose', 'out_dir_distbin': 'distbin'}"
Rename AGGPURP,step_6,rename,avgStopOutofDirectionDist_vis,,,{'AGGPURP': 'purpose'}
Rename AGGPURP,step_6,rename,tmodeProfile_vis,,,{'AGGPURP': 'purpose'}
Rename AGGPURP,step_6,rename,tourDistProfile_vis,,,"{'AGGPURP': 'purpose', 'tourdistbin': 'distbin'}"
Rename AGGPURP,step_6,rename,tourDistProfile_et_vis,,,"{'AGGPURP': 'purpose', 'tourdistbin': 'distbin'}"
Rename AGGPURP,step_6,rename,tripmodeProfile_vis,,,{'AGGPURP': 'purpose'}
Rename AGGPURP,step_6,rename,nonMandTripLengths,,,{'AGGPURP': 'purpose'}
Rename AGGPURP,step_6,rename,nonMandTripLengths_et,,,{'AGGPURP': 'purpose'}
Rename AGGPURP,step_6,rename,stopDeparture_vis,,,{'AGGPURP': 'purpose'}
Rename AGGPURP,step_6,rename,stopFreqProfile_vis,,,"{'AGGPURP': 'purpose', 'level_0': 'num_stops'}"
Rename AGGPURP,step_6,rename,stopPurposeByTourPurpose_vis,,,"{'AGGPURP': 'tour_purpose', 'DPURP': 'stop_purpose'}"
Rename AGGPURP,step_6,rename,todProfile_vis,,,"{'AGGPURP': 'purpose', 'level_0': 'period'}"
Rename AGGPURP,step_6,rename,tripDeparture_vis,,,{'AGGPURP': 'tour_purpose'}
Rename AGGPURP,step_6,rename,tourDuration,,,{'AGGPURP': 'purpose'}
#,,,,,,
Rename AUTOSUFF column,step_6,rename,tmodeProfile_vis,,,{'AUTOSUFF': 'OwnershipCategory'}
Recode auto ownership category,step_6,replace,tmodeProfile_vis,OwnershipCategory,OwnershipCategory,"{0: '0: No Vehicles', 1: '1: 1+ Veh/Adults > Veh', 2: '2: Vehicles >= Adults'}"
Rename mandatory distance distribution columns,step_6,rename,mandTLFD,,,"{'level_0': 'distbin', 'HDISTRICT': 'District'}"
Rename mandatory distance distribution columns,step_6,rename,mandTLFD_et,,,"{'level_0': 'distbin', 'HDISTRICT': 'District'}"
Drop null values,step_6,raw,,,,tmodeProfile_vis = tmodeProfile_vis.dropna()
Melt mand TLFD,step_6,raw,,,,"mandTLFD = pd.melt(mandTLFD, ['distbin', 'District'], var_name = 'purpose')"
Melt mand TLFD,step_6,raw,,,,"mandTLFD_et = pd.melt(mandTLFD_et, ['distbin', 'District'], var_name = 'purpose')"
Rename mandatory trip length district,step_6,rename,mandTripLengths,,,{'HDISTRICT': 'District'}
Rename mandatory trip length district,step_6,rename,mandTripLengths_et,,,{'HDISTRICT': 'District'}
Melt mandatory trip lengths,step_6,raw,,,,"mandTripLengths = pd.melt(mandTripLengths, ['District'], var_name = 'purpose')"
Melt mandatory trip lengths,step_6,raw,,,,"mandTripLengths_et = pd.melt(mandTripLengths_et, ['District'], var_name = 'purpose')"
Recode mandatory tour frequency category,step_6,replace,mtfSummary_vis,imf_choice,imf_choice,"{0: ""No Mand Tours"", 1: ""1 Work"", 2: ""2+ Work"", 3: ""1 School"", 4: ""2+ School"", 5: ""1 Work & 1 School""}"
Melt stopFreqProfile_vis,step_6,raw,,,,"stopFreqProfile_vis = pd.melt(stopFreqProfile_vis, ['num_stops', 'purpose'], var_name = 'Direction')"
Recode stop purpose,step_6,replace,stopPurposeByTourPurpose_vis,stop_purpose,stop_purpose,"{1: '01: Work', 2: '02: University', 3: '03: School', 4: '04: Escort', 5: '05: Shopping', 6: '06: Maintenance', 7: '07: Eating', 8: '08: Visiting', 9: '09: Other Discretionary', 10: '10: Work-Related'}"
#,,,,,,
Recode HH District,step_6,replace,wfh_summary,District,District,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
Recode HH District,step_6,replace,districtFlows,HDISTRICT,HDISTRICT,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
Recode Work District,step_6,replace,districtFlows,WDISTRICT,WDISTRICT,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
Recode mandatory tour length district,step_6,replace,mandTLFD,District,District,"{1: '1: Downtown', 2: '2: Central', 3: '3: North City', 4: '4: South Suburban', 5: '5: East Suburban', 6: '6: North County West', 7: '7: North County East', 8: '8: East County'}"
